DIRECTORIO;P424;P4030;P4030S1;P4030S1A1;P4030S5;P4030S3;P4030S4;P4030S4A1;P4030S2;DIA_REF;REGION;CLASE;F_EXP
1000000;2; ;1;4;1;1;1;3;1;7;4;1;331,5956904
1000002;2; ;1;4;1;1;1;3;1;7;4;1;220,6074246
1000004;2; ;1;4;1;1;1;3;1;7;4;1;227,3732431
1000006;2; ;1;2;1;1;1;3;1;7;4;1;140,9228122
1000007;1; ;1;2;1;1;1;3;1;7;4;1;296,7976421
1000008;3; ;1;1;1;1;1;3;2;7;2;1;128,675186
1000009;1; ;1;2;1;1;1;3;1;7;2;1;105,9974111
1000011;2; ;1;2;1;1;1;3;1;7;3;1;156,0555151
1000012;2; ;1;2;1;1;1;3;1;7;3;1;138,2118534
1000013;2; ;1;2;1;1;1;3;1;7;4;1;318,8926534
1000014;1; ;1;2;1;1;1;2;1;7;3;1;129,1559477
1000016;1; ;1;2;1;1;1;2;2;7;3;1;150,4574711
1000021;2; ;1;2;1;1;1;3;1;7;4;1;246,2941048
1000027;1; ;1;2;1;1;1;3;2;1;4;1;359,4845353
1000028;2; ;1;1;1;1;1;3;1;1;2;1;172,7372349
1000030;2; ;1;2;1;2;1;3;1;1;3;1;151,9731604
1000031;1; ;1;1;1;1;1;3;1;7;2;1;44,98237367
1000033;3; ;1;1;1;1;1;3;1;7;2;1;120,9699166
1000034;1; ;1;2;1;1;1;3;1;1;3;1;413,7382041
1000036;2; ;1;4;1;1;1;3;1;1;3;1;332,4304676
1000037;2; ;1;2;1;1;1;3;1;1;3;1;468,060515
1000038;2; ;1;1;1;1;1;3;1;1;2;1;119,643067
1000041;2; ;1;4;1;1;1;7;1;2;2;1;184,7441003
1000042;2; ;1;4;1;1;1;2;1;2;4;1;618,5725479
1000044;2; ;1;2;1;1;1;3;1;2;3;1;126,0456296
1000045;1; ;1;2;1;1;1;3;1;2;3;1;101,7443448
1000046;1; ;1;1;1;1;1;3;1;2;3;1;87,77132768
1000047;1; ;1;2;1;1;1;3;2;2;3;1;290,1385985
1000048;1; ;1;1;1;1;1;3;1;2;3;1;421,5431219
1000049;2; ;1;2;1;1;1;2;2;7;2;1;106,5575607
1000050;1; ;1;2;1;1;1;3;2;7;3;1;111,70752
1000051;2; ;1;1;1;1;1;3;1;7;1;1;212,3104571
1000052;2; ;1;1;1;1;1;3;1;7;1;1;152,4714337
1000053;1; ;1;3;1;1;1;3;1;7;4;1;125,209088
1000054;2; ;1;1;1;1;1;2;1;7;2;1;122,3727393
1000055;2; ;1;1;1;1;1;2;1;7;2;1;180,9739287
1000056;1; ;1;1;1;1;1;3;1;7;1;1;203,2626309
1000057;1; ;1;2;1;1;1;3;1;7;1;1;69,95178458
1000058;1; ;1;3;1;1;1;8;1;7;5;1;724,9048939
1000059;1; ;1;2;1;2;1;2;2;7;2;2;3549,840652
1000060;1; ;1;2;1;1;1;3;1;7;1;1;80,49260807
1000061;2; ;1;2;1;1;1;2;1;7;2;1;188,9844066
1000062;2; ;1;1;1;1;1;3;1;7;4;1;204,5339291
1000063;1; ;1;3;1;1;1;3;2;7;2;1;69,46973448
1000064;1; ;1;1;1;1;1;3;1;7;1;1;176,3784548
1000065;2; ;1;3;1;1;1;2;1;7;2;1;151,076037
1000067;2; ;1;2;1;1;1;2;1;7;2;1;264,6743081
1000069;1; ;1;1;1;2;1;3;2;7;1;1;182,0097163
1000070;1; ;1;3;2;2;1;3;2;7;6;1;12,39264269
1000071;2; ;1;2;1;1;1;2;1;7;2;1;155,8352326
1000072;2; ;1;2;1;1;1;7;2;7;2;1;157,3744394
1000073;2; ;1;2;1;1;1;2;1;7;2;1;287,2360461
1000074;1; ;1;3;1;1;1;3;1;7;1;1;106,4130521
1000076;2; ;1;2;1;1;1;3;1;7;2;1;86,1520316
1000077;1; ;1;1;1;2;1;3;1;7;1;1;44,18914565
1000078;1; ;1;1;1;2;1;3;1;7;1;1;89,90616458
1000079;2; ;1;2;1;1;1;3;1;3;5;1;291,5889857
1000080;1; ;1;4;1;1;1;3;1;7;3;1;103,5001979
1000081;2; ;1;4;1;1;1;3;1;7;1;1;75,84264355
1000082;2; ;1;3;1;1;1;2;1;7;2;1;142,938975
1000083;2; ;1;2;1;1;1;3;1;7;2;1;141,9951588
1000084;1; ;1;3;1;1;1;3;1;7;4;1;61,75054592
1000085;1; ;1;1;1;2;1;3;1;7;2;1;50,96808815
1000086;1; ;1;2;1;1;1;3;1;7;2;1;32,65662871
1000088;1; ;1;1;1;1;1;3;1;1;1;1;339,9835054
1000089;3; ;1;2;1;1;1;3;2;1;3;1;225,6233398
1000090;3; ;1;2;1;1;1;2;2;1;3;1;228,7984078
1000091;1; ;1;3;1;1;1;1;1;1;5;1;328,73021
1000092;1; ;1;2;1;1;1;3;1;1;1;1;161,5245348
1000093;2; ;1;2;1;1;1;3;1;1;1;1;267,4768964
1000095;1; ;1;2;1;1;1;3;1;1;1;1;317,3801717
1000096;1; ;1;3;1;1;1;3;2;1;4;1;109,3892258
1000097;2; ;1;2;1;1;1;3;1;1;2;1;327,9763989
1000098;2; ;1;2;1;1;1;3;1;1;1;1;130,5807246
1000101;1; ;1;2;1;1;1;3;1;1;1;1;127,1455754
1000103;1; ;1;2;1;1;1;3;1;1;1;1;100,2127127
1000104;1; ;1;2;1;1;1;3;1;1;2;1;171,5095135
1000105;2; ;1;1;1;1;1;3;2;1;4;1;298,6507615
1000106;1; ;1;2;1;1;1;2;2;1;4;1;248,5059458
1000107;2; ;1;2;1;1;1;2;1;1;5;1;530,2110247
1000108;2; ;1;1;1;2;1;3;1;1;1;1;182,5772435
1000109;2; ;1;2;1;1;1;3;1;1;5;1;450,4897453
1000110;2; ;1;2;1;1;1;3;1;1;5;1;660,6321221
1000111;2; ;1;1;1;1;1;2;1;1;2;1;399,5831199
1000113;1; ;1;1;1;2;1;2;2;1;1;1;468,0434449
1000114;1; ;1;1;1;1;1;3;1;1;1;1;230,401078
1000115;1; ;1;2;1;1;1;2;2;1;2;2;1596,312481
1000116;1; ;1;2;2;2;1;2;2;1;2;2;1814,464343
1000117;2; ;1;2;1;1;1;3;1;1;2;1;231,5094827
1000118;2; ;1;2;1;1;1;2;1;1;3;1;314,1882111
1000119;3; ;1;2;1;1;1;3;1;1;5;1;495,0769937
1000120;1; ;1;1;1;1;1;3;1;1;1;1;245,0905101
1000121;1; ;1;1;1;1;1;3;1;1;2;1;121,6925846
1000123;1; ;1;1;1;1;1;3;1;1;1;1;398,214294
1000124;2; ;1;2;1;1;1;2;1;1;2;1;351,8422073
1000125;1; ;1;1;1;1;1;3;1;1;2;1;75,25180313
1000126;2; ;1;2;1;1;1;3;1;1;5;1;623,6308651
1000127;1; ;1;3;1;1;1;2;1;1;2;1;354,9721617
1000128;2; ;1;2;1;1;1;3;1;1;5;1;477,8508615
1000129;1; ;1;3;1;1;1;2;1;1;2;1;196,4896096
1000130;1; ;1;3;1;1;1;3;1;1;5;1;416,1637883
1000132;1; ;1;2;1;1;1;3;2;1;3;1;548,6087419
1000133;1; ;1;2;1;1;1;3;1;1;3;1;128,9565361
1000134;1; ;1;4;1;1;1;3;1;1;3;1;399,3134413
1000135;2; ;1;2;1;1;1;3;1;1;3;1;230,3550791
1000136;1; ;1;1;1;1;1;3;1;7;2;1;50,83828546
